run,modelname,treatname,angle,spd,t,channel,value
20120521164435,noisefloor,no,0,0,6.46875,W,0.0
20120521164435,noisefloor,no,0,0,6.5,W,0.0
20120521164435,noisefloor,no,0,0,6.53125,W,0.0
20120521164435,noisefloor,no,0,0,6.5625,W,0.0
20120521164435,noisefloor,no,0,0,6.59375,W,0.0
20120521164435,noisefloor,no,0,0,6.625,W,0.0
20120521164435,noisefloor,no,0,0,6.65625,W,0.0
20120521164435,noisefloor,no,0,0,6.6875,W,0.0
20120521164435,noisefloor,no,0,0,6.71875,W,0.0
20120521164435,noisefloor,no,0,0,6.75,W,0.0
20120521164435,noisefloor,no,0,0,6.78125,W,0.0
20120521164435,noisefloor,no,0,0,6.8125,W,0.0
20120521164435,noisefloor,no,0,0,6.84375,W,0.0
20120521164435,noisefloor,no,0,0,6.875,W,0.0
20120521164435,noisefloor,no,0,0,6.90625,W,0.0
20120521164435,noisefloor,no,0,0,6.9375,W,0.0
20120521164435,noisefloor,no,0,0,6.96875,W,0.0
20120521164435,noisefloor,no,0,0,7.0,W,0.0
20120521164435,noisefloor,no,0,0,7.03125,W,0.0
20120521164435,noisefloor,no,0,0,7.0625,W,0.0
20120521164435,noisefloor,no,0,0,7.09375,W,0.0
20120521164435,noisefloor,no,0,0,7.125,W,0.0
20120521164435,noisefloor,no,0,0,7.15625,W,0.0
20120521164435,noisefloor,no,0,0,7.1875,W,0.0
20120521164435,noisefloor,no,0,0,7.21875,W,0.0
20120521164435,noisefloor,no,0,0,7.25,W,0.0
20120521164435,noisefloor,no,0,0,7.28125,W,0.0
20120521164435,noisefloor,no,0,0,7.3125,W,0.0
20120521164435,noisefloor,no,0,0,7.34375,W,0.0
20120521164435,noisefloor,no,0,0,7.375,W,0.0
20120521164435,noisefloor,no,0,0,7.40625,W,0.0
20120521164435,noisefloor,no,0,0,7.4375,W,0.0
20120521164435,noisefloor,no,0,0,7.46875,W,0.0
20120521164435,noisefloor,no,0,0,7.5,W,0.0
20120521164435,noisefloor,no,0,0,7.53125,W,0.0
20120521164435,noisefloor,no,0,0,7.5625,W,0.0
20120521164435,noisefloor,no,0,0,7.59375,W,0.0
20120521164435,noisefloor,no,0,0,7.625,W,0.0
20120521164435,noisefloor,no,0,0,7.65625,W,0.0
20120521164435,noisefloor,no,0,0,7.6875,W,0.0
20120521164435,noisefloor,no,0,0,7.71875,W,0.0
20120521164435,noisefloor,no,0,0,7.75,W,0.0
20120521164435,noisefloor,no,0,0,7.78125,W,0.0
20120521164435,noisefloor,no,0,0,7.8125,W,0.0
20120521164435,noisefloor,no,0,0,7.84375,W,0.0
20120521164435,noisefloor,no,0,0,7.875,W,0.0
20120521164435,noisefloor,no,0,0,7.90625,W,0.0
20120521164435,noisefloor,no,0,0,7.9375,W,0.0
20120521164435,noisefloor,no,0,0,7.96875,W,0.0
20120521164435,noisefloor,no,0,0,8.0,W,0.0
20120521164435,noisefloor,no,0,0,8.03125,W,0.0
20120521164435,noisefloor,no,0,0,8.0625,W,0.0
20120521164435,noisefloor,no,0,0,8.09375,W,0.0
20120521164435,noisefloor,no,0,0,8.125,W,0.0
20120521164435,noisefloor,no,0,0,8.15625,W,0.0
20120521164435,noisefloor,no,0,0,8.1875,W,0.0
20120521164435,noisefloor,no,0,0,8.21875,W,0.0
20120521164435,noisefloor,no,0,0,8.25,W,0.0
20120521164435,noisefloor,no,0,0,8.28125,W,0.0
20120521164435,noisefloor,no,0,0,8.3125,W,0.0
20120521164435,noisefloor,no,0,0,8.34375,W,0.0
20120521164435,noisefloor,no,0,0,8.375,W,0.0
20120521164435,noisefloor,no,0,0,8.40625,W,0.0
20120521164435,noisefloor,no,0,0,8.4375,W,0.0
20120521164435,noisefloor,no,0,0,8.46875,W,0.0
20120521164435,noisefloor,no,0,0,8.5,W,0.0
20120521164435,noisefloor,no,0,0,8.53125,W,0.0
20120521164435,noisefloor,no,0,0,8.5625,W,0.0
